question,expected,actual_1,actual_2,actual_3,verdict
How can you acquire the Small Junimo Plush in Stardew Valley?,The Small Junimo Plush can be won in the Crane Game inside the Movie Theater.,The Small Junimo Plush can be obtained by playing the Crane Game inside the Movie Theater. It is a decorative furniture item and comes in four color variations with slight differences in limb positioning. Would you like tips for the Crane Game or anything else?,The Small Junimo Plush is obtained as a decorative item through the Crane Game in the Movie Theater. It is available in different colors and can be won during any season.,"The Small Junimo Plush can be acquired by winning it in the Crane Game inside the Movie Theater. There are various versions, and you can attempt to win one in any season.",PASS
What is the sell price of the Small Junimo Plush?,The Small Junimo Plush cannot be sold.,The Small Junimo Plush cannot be sold.,The Small Junimo Plush cannot be sold. It's purely a decorative item. Let me know if you'd like help with anything else.,The Small Junimo Plush cannot be sold.,PASS
How much does Nekoite sell for?,"Nekoite sells for 80g, or 104g if you have the Gemologist Profession.",Nekoite sells for 80g normally or 104g if you have the Gemologist profession.,"Nekoite sells for 80g. If you have the Gemologist Profession, it sells for 104g.","Nekoite sells for 80g normally, or 104g if you have the Gemologist profession. You can find it in Geodes or Omni Geodes.",PASS
Can Nekoite be used in any bundles?,Nekoite is not used in any bundles.,"No, Nekoite is not used in any bundles.",Nekoite is not used in any bundles.,Nekoite is not used in any bundles.,PASS
What is the sell price of Tropical Curry?,The sell price of Tropical Curry is 500g.,The sell price of Tropical Curry is 500g.,"Tropical Curry sells for 500g. If prepared with Qi Seasoning, its sell price increases to 750g.","Tropical Curry sells for 500g. If Qi Seasoning is used, the sell price increases to 750g.",PASS
What shirt can Tropical Curry create in sewing?,Tropical Curry can be used to create the Tropical Sunrise Shirt in sewing.,Tropical Curry can be used in the sewing machine to create the Tropical Sunrise Shirt.,Using Tropical Curry in a Sewing Machine creates the Tropical Sunrise Shirt.,"Tropical Curry, when used in the spool of a sewing machine, produces the Tropical Sunrise Shirt.",PASS
What is the growth time for melons in Stardew Valley?,Melons grow in 12 days.,Melons take 12 days to grow after planting their seeds.,Melons take a total of 12 days to grow.,Melons take 12 days to grow from Melon Seeds during the summer season.,PASS
Which villager loves melons in Stardew Valley?,Penny loves melons.,Penny is the only villager who loves melons.,Penny is the villager who loves melons.,Penny is the only villager who loves melons.,PASS
What is the radius of light emitted by the Small Glow Ring?,The Small Glow Ring emits light in a radius of 5 tiles around the player.,The Small Glow Ring emits light in a radius of 5 tiles around the player.,The Small Glow Ring emits light in a radius of 5 tiles around the player.,The Small Glow Ring emits light in a radius of 5 tiles around the player.,PASS
What price does the Small Glow Ring sell for?,The Small Glow Ring sells for 50g.,The Small Glow Ring sells for 50g.,The Small Glow Ring sells for 50g.,The Small Glow Ring can be sold for 50g.,PASS
What animal produces Large Milk in Stardew Valley?,Large Milk is produced by a Cow.,Large Milk is produced by cows with sufficient friendship and mood.,Large Milk is produced by Cows when they have sufficient friendship and mood levels.,Large Milk is produced by a cow with sufficient friendship and mood.,PASS
Which bundle in Stardew Valley requires Large Milk as part of its completion?,Large Milk is an option for the Animal Bundle in the Pantry.,"Large Milk is required for the Animal Bundle in the Pantry. Additionally, it can be part of the Home Cook's Bundle on the Bulletin Board if you're playing with Remixed bundles enabled.","Large Milk is required for the Animal Bundle in the Pantry. In the remixed version, it can also be used in the Home Cook's Bundle on the Bulletin Board.","Large Milk is required for the Animal Bundle in the Pantry. It is also used in the Home Cook's Bundle on the Bulletin Board, but only if the bundles are remixed.",PASS
What does the Dwarvish Translation Guide unlock?,The Dwarvish Translation Guide unlocks the ability to understand the language of the dwarves.,"The Dwarvish Translation Guide, obtained by donating all 4 Dwarf Scrolls to the Museum, lets you understand Dwarvish. This enables communication with the Dwarf in the Mines and Volcano Dungeon, and reading the Dwarvish gravestone in the Graveyard. It is in your Special Items tab once unlocked.","The Dwarvish Translation Guide allows you to understand the language of the Dwarves. You can then communicate with the Dwarves in the Mines and Volcano Dungeon, as well as read the rightmost gravestone in the Graveyard. It’s obtained by donating all four Dwarf Scrolls to the Museum.","The Dwarvish Translation Guide allows you to understand the dwarves' language. It unlocks communication with the Dwarf in the Mines and Volcano Dungeon, and it enables you to read the rightmost gravestone in the Graveyard. To acquire it, you need to donate all four Dwarf Scrolls to the Museum.",PASS
How is the Dwarvish Translation Guide obtained?,The Dwarvish Translation Guide is obtained by donating all 4 Dwarf Scrolls to the Museum.,"The Dwarvish Translation Guide is obtained by donating all four Dwarf Scrolls to the Museum. This allows you to understand the dwarves' language and interact with them in the Mines, Volcano Dungeon, and more. Once acquired, it's found in the Special Items & Powers tab in your menu.","The Dwarvish Translation Guide is obtained by donating all four Dwarf Scrolls to the Museum. Once unlocked, it allows you to understand the Dwarves' language and communicate with them, as well as read certain gravestones. You'll find it in the ""Special Items & Powers"" tab of your menu.","The Dwarvish Translation Guide is obtained by donating all four Dwarf Scrolls to the Museum. Once acquired, it allows you to understand the dwarves' language and communicate with the Dwarf in the Mines and Volcano Dungeon, as well as read a specific gravestone in the Graveyard.",PASS
What is required to craft a Stone Chest?,50 stones are required to craft a Stone Chest.,"To craft a Stone Chest, you need stone as the crafting material. The recipe is obtained via mail after completing Robin's special order called ""Robin's Resource Rush.""","To craft a Stone Chest, you'll need the recipe, which is obtained by completing the ""Robin's Resource Rush"" special order. The crafting ingredient is Stone.","To craft a Stone Chest, you'll need to complete Robin's ""Resource Rush"" special order. Once done, you'll receive the recipe via mail, which requires **50 Stone** as the sole ingredient.",FAIL
What happens to a Stone Chest left in a villager's walking pathway?,"If a Stone Chest is left in a villager's walking pathway, it will be pushed out of their way.","If a Stone Chest is left in a villager's walking pathway, it will be pushed out of the way instead of being destroyed. Villagers will automatically nudge it to the nearest valid tile to continue their path. To avoid such movement, place the chest in an area that doesn't obstruct pathways.","If a Stone Chest is left in a villager's walking pathway, the chest won't be destroyed; it will simply be pushed out of the way. The chest will move to the nearest valid tile that allows item placement, which could be diagonally adjacent or behind the player.","If you place a Stone Chest in a villager's walking pathway, the villager will simply push the chest out of their way instead of destroying it. It will move to the nearest valid tile that's not in their path. Make sure to place your chests carefully to avoid unexpected moves.",PASS
Where can the Ornamental Fan be found?,"The Ornamental Fan can be found by digging up an Artifact Spot at the Beach, in Cindersap Forest, or in Pelican Town, and it can also be found in Fishing Treasure Chests or Artifact Troves.","The Ornamental Fan can be found in the following ways:

- By digging up Artifact Spots at the Beach (1.6%), Cindersap Forest (0.7%), or Pelican Town (0.6%).
- Inside Fishing Treasure Chests.
- From Artifact Troves.
- As a gift from a pet dog with max friendship.","The Ornamental Fan can be found in Artifact Spots at the Beach, Cindersap Forest, or Pelican Town. It can also appear in Fishing Treasure Chests or Artifact Troves. Additionally, a pet dog with max friendship can gift it.","The Ornamental Fan can be found by digging up artifact spots at the Beach, Cindersap Forest, or Pelican Town. It may also appear in fishing treasure chests or artifact troves. Additionally, a pet dog with max friendship has a chance to gift it to you.",FAIL
What is the sell price of the Ornamental Fan?,The sell price of the Ornamental Fan is 300g.,The Ornamental Fan cannot be sold. It has no sell price.,The Ornamental Fan cannot be sold.,The Ornamental Fan cannot be sold. Let me know if you'd like to know more about it!,FAIL
How can a player obtain the Soda Machine in Stardew Valley?,The Soda Machine is obtained upon completing the Joja Community Development Form.,"The Soda Machine is obtained by completing the Joja Community Development Form. If you choose to build the Community Center instead, the Soda Machine becomes unavailable. If lost, it can be replaced for 10,000g at the Lost Items Shop in the Secret Woods.","The Soda Machine is obtained by completing the Joja Community Development Form. It provides one free Joja Cola daily. If lost, it can be replaced for 10,000g at the Lost Items Shop in the Secret Woods. It’s not available to players who rebuild the Community Center instead of supporting Joja.","You can obtain the Soda Machine by completing the Joja Community Development Form. It produces one Joja Cola per day. If you lose the original, a replacement can be purchased for 10,000g from the Lost Items Shop in the Secret Woods. However, if you choose to restore the Community Center instead of siding with JojaMart, the Soda Machine cannot be obtained.",PASS
What happens if the Soda Machine is lost in Stardew Valley?,"If the original Soda Machine is lost, a replacement can be purchased at the Lost Items Shop in the Secret Woods for 10,000g.","If the Soda Machine is lost, you can purchase a replacement for 10,000g from the Lost Items Shop in the Secret Woods.","If the Soda Machine is lost, a replacement can be purchased from the Lost Items Shop in the Secret Woods for 10,000g.","If the Soda Machine is lost, you can purchase a replacement for 10,000g at the Lost Items Shop in the Secret Woods.",PASS
What is the base damage of a Rock Crab (dangerous)?,The base damage of a Rock Crab (dangerous) is 13.,The base damage of a dangerous Rock Crab is **13**.,The base damage of a dangerous Rock Crab is 13.,The base damage of a dangerous Rock Crab is 13. Let me know if you need advice on handling them!,PASS
Where can dangerous Rock Crabs spawn in Stardew Valley?,Dangerous Rock Crabs spawn in the Dangerous Mines on floors 1-29.,"Dangerous Rock Crabs spawn in the Mines on Floors 1-29 after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.","Dangerous Rock Crabs spawn in the Dangerous Mines on Floors 1-29. These mines are accessed after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.","Dangerous Rock Crabs spawn in the Dangerous Mines on floors 1-29. These conditions occur after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest.",PASS
Where can goats be purchased in Stardew Valley?,"Goats can be purchased at Marnie's Ranch for 4,000g.","Goats can be purchased at Marnie's Ranch for 4,000g. You'll need to have a Big Barn to accommodate them.","Goats can be purchased from Marnie's Ranch for 4,000g. They require a Big Barn to be housed.","Goats can be purchased at Marnie's Ranch for 4,000g. You'll need to have a Big Barn on your farm to accommodate them.",PASS
What does using a Milk Pail to milk a goat increase in Stardew Valley?,Using a Milk Pail to milk a goat increases friendship by 5 points.,Using a Milk Pail to milk a goat increases the player's Farming experience by 5 points and boosts the goat's friendship with the player by 5 points.,Using a Milk Pail to milk a goat increases the player's farming experience by 5 points and the goat's friendship by 5 points.,Using a Milk Pail to milk a goat increases the player's Farming experience by 5 points and raises the goat's friendship by 5 points.,PASS
What is unique about the inventory of a Junimo Chest compared to regular chests?,The inventory of a Junimo Chest is global and accessible from any other Junimo Chest.,"A Junimo Chest has a global inventory shared across all Junimo Chests, with nine slots. Items placed in one chest are accessible from any other. Unlike regular chests, they don't support crafting when next to a Workbench.","Junimo Chests are unique because they share a global inventory of nine spaces, meaning items placed in one chest can be accessed from any other Junimo Chest. This differs from regular chests, which have individual inventories. However, items in Junimo Chests aren't accessible for crafting via a nearby Workbench.","The unique feature of Junimo Chests is their shared global inventory of nine slots. Items placed in one Junimo Chest can be accessed from any other Junimo Chest, unlike regular chests that have individual inventories. However, they don’t support crafting access when placed next to a Workbench.",PASS
How many items can a Junimo Chest store?,A Junimo Chest can store nine items.,"A Junimo Chest can store up to 9 items, and all Junimo Chests share this global inventory. Items placed in any Junimo Chest can be accessed from any other Junimo Chest.","A Junimo Chest has a global inventory of 9 slots, shared among all Junimo Chests. Items stored in one can be accessed from any other Junimo Chest.","Junimo Chests share a global inventory of 9 spaces, accessible from any Junimo Chest placed in the world.",PASS
Where can the Art Photo be purchased?,The Art Photo can be purchased from Haley's shop at the Desert Festival.,The Art Photo can be purchased from Haley's shop during the Desert Festival for 30 coins. It is a piece of furniture to be placed indoors on a wall.,The Art Photo can be purchased at the Desert Festival for 30 currency.,The Art Photo can be purchased for 30 currency from Haley's shop at the Desert Festival. It is a decorative piece of furniture that can be placed on a wall indoors.,PASS
Can the Art Photo be placed outdoors?,The Art Photo cannot be placed outdoors.,"No, the Art Photo cannot be placed outdoors.","No, the Art Photo cannot be placed outdoors. It belongs to the category of furniture items, similar to paintings, which are restricted to indoor placement.","No, the Art Photo cannot be placed outdoors.",PASS
Where else besides shops can the Pub Table be obtained?,Players selecting the Forest farm map during character creation will find a Pub Table in their house.,"The Pub Table can be obtained from places besides shops. If you select the Forest Farm map during character creation, you’ll find one already included inside your house.","Besides shops like the Carpenter's Shop, the Pub Table can also be found inside the house if you choose the Forest farm map during character creation.","Besides shops, the Pub Table can be obtained if you choose the Forest farm layout during character creation, as one will appear inside your house once the game starts. It can also rotate into stock at the Traveling Cart.",PASS
How much does the Pub Table cost in the Carpenter's Shop?,The Pub Table costs 800g at the Carpenter's Shop.,The Pub Table costs 800g when available in the Carpenter's Shop's rotating stock.,The Pub Table costs 800g at the Carpenter's Shop.,The Pub Table costs 800g at the Carpenter's Shop.,PASS
What type of weapon is the Carving Knife in Stardew Valley?,The Carving Knife is a dagger weapon.,The Carving Knife is a dagger weapon.,The Carving Knife is a dagger-type weapon.,The Carving Knife is a dagger-type weapon.,PASS
Where can the Carving Knife be obtained in Stardew Valley?,The Carving Knife can be obtained by breaking boxes and barrels or as a monster drop on floors 1-19 in The Mines.,The Carving Knife can be obtained by breaking boxes and barrels or as a special drop from monsters found on floors 1-19 of the Mines.,The Carving Knife can be obtained by breaking boxes and barrels or as a special monster drop on floors 1-19 in the Mines.,The Carving Knife is a dagger that can be obtained by breaking boxes and barrels or as a special monster drop on floors 1–19 in the Mines.,PASS
What is the source of the Slime Charmer Ring?,The Slime Charmer Ring is obtained from Gil at the Adventurer's Guild after completing the Monster Eradication Goal of killing 1000 Slimes.,"The Slime Charmer Ring is obtained as a reward from Gil at the Adventurer's Guild after completing the Monster Eradication Goal of killing 1,000 slimes. Afterward, it can also be purchased from Marlon for 25,000g.","The Slime Charmer Ring is obtained as a reward from Gil at the Adventurer's Guild after completing the Monster Eradication Goal of defeating 1,000 slimes. It can also be purchased from Marlon for 25,000g after meeting the requirement.","The Slime Charmer Ring is obtained as a reward from Gil at the Adventurer's Guild after completing the Monster Eradication Goal of killing 1,000 Slimes. Once unlocked, it can also be purchased from Marlon for 25,000g.",PASS
What effect does the Slime Charmer Ring have?,The Slime Charmer Ring prevents the Slime debuff and damage from Slimes.,"The Slime Charmer Ring prevents all damage from slimes and protects you from the Slimed debuff. However, it doesn't guard against projectiles from stacked slimes. It’s obtained from the Adventurer's Guild as a reward for slaying 1,000 slimes.","The Slime Charmer Ring prevents all damage from slimes and also negates the ""Slimed"" debuff. However, it does not protect against projectiles from Stacked Slimes. This ring is earned by killing 1,000 slimes for the Adventurer's Guild and can then be purchased for 25,000g from Marlon.","The Slime Charmer Ring prevents all damage from slimes and protects against the Slimed debuff. It does not, however, protect against projectiles from certain types of slimes, like Stacked Slimes.",PASS
Where can the Elegant Fireplace be purchased?,The Elegant Fireplace can be purchased from the Furniture Catalogue for 0g.,"The Elegant Fireplace can be purchased from the Furniture Catalogue for free (0g). Additionally, you can receive one as part of Penny's 14-heart event if you choose the ""Strawberry Home"" option.","The Elegant Fireplace can be purchased from the Furniture Catalogue for free (0g). Additionally, it is obtained during Penny's 14-Heart event if you choose the ""Strawberry Home"" design while redecorating your bedroom.","The Elegant Fireplace can be purchased for free from the Furniture Catalogue. It also becomes available as part of Penny's 14-Heart event if you choose the ""Strawberry Home"" option.",PASS
What happens when you right-click the Elegant Fireplace?,"Once placed, right-clicking on the Elegant Fireplace will turn the fire on or off.","When you right-click the Elegant Fireplace, it toggles the fire on or off.","When you right-click the Elegant Fireplace, it turns the fire on or off.",Right-clicking the Elegant Fireplace will turn its fire on or off.,PASS
What is the source of the Plastic Sapling in Stardew Valley?,The Plastic Sapling is available from the Joja Furniture Catalogue.,The Plastic Sapling is a decorative furniture item that can be obtained from the Joja Furniture Catalogue.,The Plastic Sapling is a decorative furniture item available for purchase through the Joja Furniture Catalogue.,The Plastic Sapling is a decorative furniture item that can be obtained from the Joja Furniture Catalogue.,PASS
Can the Plastic Sapling be sold in Stardew Valley?,The Plastic Sapling cannot be sold.,The Plastic Sapling cannot be sold. It is a decorative furniture item available from the Joja Furniture Catalogue.,The Plastic Sapling cannot be sold.,"No, the Plastic Sapling cannot be sold. It's a decorative furniture item available from the Joja Furniture Catalogue.",PASS
Where can the Return Scepter be purchased?,The Return Scepter can be purchased from Krobus in the Sewers.,The information about where to purchase the Return Scepter isn't clear from what I found. Can you confirm if you're asking about acquiring it in a specific way or location?,I couldn't find clear evidence just yet. Could you clarify or ask for any other detail about the Return Scepter?,"The Return Scepter can be purchased from Krobus in the Sewers for 2,000,000g.",FAIL
What is the price of the Return Scepter?,"The Return Scepter costs 2,000,000g.","The Return Scepter costs 2,000,000 gold and is purchasable from Krobus in the Sewers. It is the most expensive inventory item available.","The Return Scepter costs 2,000,000g and can be purchased from Krobus in the Sewers.","The Return Scepter costs 2,000,000g and is purchasable from Krobus in the Sewers. It's the most expensive inventory item in the game.",FAIL
Where can you purchase the Wood Chipper in Stardew Valley?,"The Wood Chipper can be purchased from the Carpenter's Shop for 1,000g starting the first day of Winter in year 1.","The Wood Chipper can be purchased at the Carpenter's Shop for 1,000g starting from the first day of Winter in Year 1.","You can purchase the Wood Chipper from the Carpenter's Shop for 1,000g starting on the first day of Winter in Year 1. Robin also sends you a letter about it on the second day of Winter.","The Wood Chipper can be purchased from the Carpenter's Shop for 1,000g. It becomes available starting the first day of Winter in Year 1. Robin also sends you a letter about it on the second day of Winter.",PASS
"What can be obtained from the Carpenter's Shop for 1,000g starting the first day of Winter in year 1?","The Wood Chipper can be obtained from the Carpenter's Shop for 1,000g starting the first day of Winter in year 1.","Starting the first day of Winter in Year 1, you can purchase the **Wood Chipper** at the Carpenter's Shop for 1,000g. It allows you to break hardwood into regular wood. Its availability begins after receiving a letter from Robin.","At the Carpenter's Shop starting the first day of Winter in Year 1, you can purchase the Wood Chipper for 1,000g. It allows you to break down hardwood into regular wood.","At the Carpenter's Shop starting the first day of Winter in year 1, you can purchase the Wood Chipper for 1,000g. It allows you to turn hardwood into regular wood.",PASS
How much does the Green Cushion sell for in Stardew Valley?,The Green Cushion cannot be sold.,The Green Cushion cannot be sold.,The Green Cushion cannot be sold. It is purely decorative furniture.,The Green Cushion cannot be sold.,PASS
Where can the Green Cushion be obtained from in Stardew Valley?,The Green Cushion is available from the Furniture Catalogue.,The Green Cushion can be obtained from the Furniture Catalogue at no additional cost.,The Green Cushion can be obtained from the Furniture Catalogue for 0g.,"The Green Cushion can be obtained from the Furniture Catalogue, where it is available for no additional cost (0g).",PASS
What profession causes bait to not be needed for Crab Pots?,The Luremaster profession causes bait to not be needed for Crab Pots.,The Luremaster profession eliminates the need for bait in crab pots.,The profession that eliminates the need for bait in Crab Pots is Luremaster. This allows you to use them without manually adding bait daily.,The Luremaster profession causes Crab Pots not to require bait. You can choose this profession when reaching Level 10 Fishing after selecting the Trapper profession at Level 5.,PASS
At what Fishing Level is the recipe for crafting a Crab Pot obtained?,The recipe for crafting a Crab Pot is obtained at Fishing Level 3.,The recipe for crafting a Crab Pot is unlocked at Fishing Level 3.,The recipe to craft a Crab Pot is unlocked at Fishing Level 3.,The recipe for crafting a Crab Pot unlocks at Fishing Level 3.,PASS
What season do Artichoke Seeds grow in?,Artichoke Seeds grow in the fall.,Artichoke Seeds grow in the Fall season.,Artichoke Seeds grow during the fall season and take 8 days to mature.,Artichoke Seeds grow in the Fall season and take 8 days to mature.,PASS
How long does it take for Artichoke Seeds to mature?,Artichoke Seeds take 8 days to mature.,Artichoke Seeds take 8 days to mature.,Artichoke Seeds take 8 days to mature.,Artichoke Seeds take 8 days to mature into harvestable crops.,PASS
What is the source of the 'Groovy' painting in Stardew Valley?,The 'Groovy' painting is available from the Retro Catalogue.,"The ""Groovy"" painting is a furniture item available from the Retro Catalogue.",The 'Groovy' painting is a furniture item available from the Retro Catalogue.,The 'Groovy' painting is a furniture item that can be obtained from the Retro Catalogue.,PASS
Can the 'Groovy' painting be placed outdoors in Stardew Valley?,"No, the 'Groovy' painting can't be placed outdoors.","No, the 'Groovy' painting, like other paintings, cannot be placed outdoors. Paintings are designed for indoor use only.","No, paintings, including the 'Groovy' painting, cannot be placed outdoors. They are restricted to indoor placement only.","No, the ""Groovy"" painting, like all paintings in the game, cannot be placed outdoors. Paintings can only be hung on walls within buildings.",PASS
Where can the Rune Rug be obtained?,The Rune Rug can be obtained from the Wizard Catalogue.,The Rune Rug can be obtained from the Wizard's Catalogue.,The Rune Rug can be obtained from the Wizard's Catalogue.,The Rune Rug can be obtained from the Wizard's Catalogue.,PASS
Can the Rune Rug be placed outdoors?,"No, the Rune Rug cannot be placed outdoors.",The information specifically about placing the Rune Rug outdoors is unclear. Do you want me to explore further or confirm details about it?,"Rugs, including the Rune Rug, cannot be placed outdoors. They are strictly for indoor use.","No, the Rune Rug cannot be placed outdoors. Like all rugs, it is restricted to indoor placement.",PASS
What is the chance a Serpent in the Skull Cavern drops a Rabbit's Foot?,The chance a Serpent in the Skull Cavern drops a Rabbit's Foot is 0.8%.,Serpents in the Skull Cavern have a 0.8% chance of dropping a Rabbit's Foot.,A Serpent in the Skull Cavern has a 0.8% chance of dropping a Rabbit's Foot.,A Serpent in the Skull Cavern has a 0.8% chance to drop a Rabbit's Foot.,PASS
Can carrying a Rabbit's Foot in inventory improve the player's luck in Stardew Valley?,Carrying a Rabbit's Foot in inventory does not increase the player's luck in Stardew Valley.,"Carrying a Rabbit's Foot in your inventory does **not** improve your daily luck directly. However, you can trade a Rabbit's Foot as part of Secret Note #20's quest to obtain a Special Charm, which permanently boosts your daily luck slightly.","No, carrying a Rabbit's Foot in your inventory does not increase the player's luck, despite its ""lucky"" description. However, it can help avoid a negative outcome in the group's 10-heart event. Let me know if you need more details!","No, carrying a Rabbit's Foot in your inventory does not improve your luck, even though it is described as a lucky item. However, it serves other purposes, like preventing a negative outcome in the Group 10-Heart Event or completing certain secret notes and bundles.",FAIL
Where can the Small Junimo Hut be obtained?,The Small Junimo Hut is available from the Junimo Catalogue.,"The Small Junimo Hut is a piece of furniture available from the Junimo Catalogue, not tied to crop harvesting like the standard Junimo Hut. Let me know if you'd like details on its in-game use!",The Small Junimo Hut is a piece of furniture available from the Junimo Catalogue.,The Small Junimo Hut is a furniture item available from the Junimo Catalogue.,PASS
What is the Small Junimo Hut's selling price?,The Small Junimo Hut cannot be sold.,The Small Junimo Hut cannot be sold.,The Small Junimo Hut cannot be sold.,The Small Junimo Hut cannot be sold.,PASS
Where can the Cauldron be obtained?,The Cauldron is available from the Wizard Catalogue.,"The Cauldron can be obtained from the Wizard's Catalogue. Once acquired, it can be activated to produce green smoke.",The Cauldron can be obtained from the Wizard's Catalogue and can be activated to release green smoke.,The Cauldron can be obtained from the Wizard's Catalogue. It’s a decorative item that can be activated to emit green smoke.,PASS
What happens when the Cauldron is activated?,The Cauldron can be activated to billow green smoke.,"When the Cauldron is activated, it billows green smoke. It's primarily a decorative item available from the Wizard's Catalogue.",Activating the Cauldron causes it to emit green smoke. It doesn't appear to have any direct gameplay effects beyond this visual animation.,"When the Cauldron is activated, it releases billowing green smoke. It is primarily a decorative piece of furniture available from the wizard's catalog.",PASS
What is the growth time for Fiber Seeds?,The growth time for Fiber Seeds is 7 days.,"Fiber Seeds take 7 days to fully grow, with growth occurring across four stages: 1 day for Stage 1, then 2 days each for Stages 2, 3, and 4.","Fiber Seeds take 7 days to fully grow and can be planted in any season, including Winter. They don't require daily watering but should be protected from crows by using a Scarecrow.","Fiber Seeds take 7 days to fully grow, with growth stages of 1 day, 2 days, 2 days, and 2 days. They do not require watering and, once grown, produce fiber when harvested with a scythe.",PASS
Where can you obtain the recipe for Fiber Seeds?,The recipe for Fiber Seeds is obtained from Linus in the mail the day after completing the Special Order 'Community Cleanup'.,"The recipe for Fiber Seeds is obtained from Linus in the mail the day after completing the ""Community Cleanup"" Special Order.","You can obtain the recipe for Fiber Seeds from Linus through the mail the day after completing his Special Order called ""Community Cleanup.""","You can obtain the recipe for Fiber Seeds from Linus. He sends it to you in the mail the day after completing the special order ""Community Cleanup.""",PASS
Where can Truffle Crabs be found in Stardew Valley?,Truffle Crabs can be found on the Farm in Stardew Valley.,"Truffle Crabs can be found on the farm, with a 0.2% chance to spawn when a pig digs instead of producing a regular Truffle. They disguise themselves as Truffles and only move when you get close.",Truffle Crabs are an enemy that can be found on the farm. They have a 0.2% chance of being dug up by a pig instead of a regular truffle. They appear regardless of whether monster spawns on the farm are enabled.,Truffle Crabs can be found on your farm. They have a 0.2% chance to be dug up by a pig instead of a regular truffle. They appear regardless of whether monster spawns are enabled on the farm.,FAIL
When were Truffle Crabs introduced into Stardew Valley?,Truffle Crabs were introduced in version 1.6 of Stardew Valley.,Truffle Crabs were introduced in version 1.6.,Truffle Crabs were introduced in version 1.6.,Truffle Crabs were introduced in version 1.6.,PASS
How can the Radioactive Goggles be crafted in Stardew Valley?,The Radioactive Goggles can be tailored using Cloth and a Radioactive Bar at Emily's sewing machine or your own sewing machine.,"Radioactive Goggles can be crafted using the sewing machine. You’ll need one piece of Cloth and one Radioactive Bar as materials. This can be done at the sewing machine in Emily’s house or the one obtained as a reward from the ""Rock Rejuvenation"" special order. Let me know if you need further details!","The Radioactive Goggles can be crafted using the tailoring system. Combine Cloth and a Radioactive Bar at the sewing machine in Emily's house or on the sewing machine you can earn after completing the ""Rock Rejuvenation"" special order. Let me know if you'd like help with the materials!","To craft Radioactive Goggles, you need to use a Sewing Machine. Combine one Cloth and one Radioactive Bar at Emily's house or on a Sewing Machine obtained as part of a special order reward. Let me know if you need help with finding materials for crafting!",PASS
Is it possible to sell Radioactive Goggles in Stardew Valley?,"No, Radioactive Goggles cannot be sold.",Radioactive Goggles cannot be sold. They're crafted using Cloth and a Radioactive Bar but are not eligible for sale.,"No, Radioactive Goggles cannot be sold.","No, Radioactive Goggles cannot be sold. They are crafted using Cloth and a Radioactive Bar but have no sell value.",PASS
How can the Standing Geode furniture be obtained in Stardew Valley?,The Standing Geode can be obtained only by donating 11 Minerals to the Museum.,"The Standing Geode furniture can be obtained by donating 11 Minerals to the Museum. If it's lost, it can be replaced by purchasing it at the Lost Items Shop in the Secret Woods for 10,000g.","The Standing Geode can be obtained by donating 11 Minerals to the Museum. If lost, it can be replaced by purchasing it from the Lost Items Shop in the Secret Woods for 10,000g.","The Standing Geode can be obtained by donating 11 minerals to the museum. If lost, it can be replaced by purchasing it from the Lost Items shop in the Secret Woods for 10,000g.",FAIL
What happens if the Standing Geode is lost in Stardew Valley?,"If the Standing Geode is lost, a replacement can be purchased at the Lost Items Shop in the Secret Woods for 10,000g.","If you lose the Standing Geode, you can purchase a replacement at the Lost Items Shop in the Secret Woods for 10,000g.","If you lose the Standing Geode, you can purchase a replacement from the Lost Items Shop in the Secret Woods for 10,000g.","If the Standing Geode is lost, you can buy a replacement for 10,000g at the Lost Items Shop in the Secret Woods.",PASS
What is the source of the Wizard Bed in Stardew Valley?,The Wizard Bed is available from the Wizard Catalogue.,The Wizard Bed is available from the Wizard Catalogue.,The Wizard Bed can be obtained from the Wizard Catalogue.,The Wizard Bed can be obtained from the Wizard Catalogue.,PASS
Is the Wizard Bed a placeable outdoor furniture piece?,The Wizard Bed cannot be placed outdoors.,"The Wizard Bed, like all beds, cannot be placed outdoors and is restricted to indoor placement within valid buildings.","No, the Wizard Bed cannot be placed outside. Like most beds, it can only be placed inside constructed buildings that allow furniture placement.","No, the Wizard Bed cannot be placed outdoors. Like most furniture, it is restricted to placement inside constructed buildings where furniture is allowed.",PASS
"Where can the Dark Throne be bought for 2,000g?","The Dark Throne can be bought for 2,000g at the Carpenter's Shop.","The Dark Throne can be purchased for 2,000g at the Carpenter's Shop when it rotates into daily stock.","The Dark Throne can be bought for 2,000g at the Carpenter's Shop when it rotates into their daily stock. You can also find it at the Traveling Cart (250–2,500g) or through the Furniture Catalogue.","The Dark Throne can be purchased for 2,000g at the Carpenter's Shop when it appears in their rotating stock.",PASS
Is the Dark Throne available from the Furniture Catalogue?,The Dark Throne is available from the Furniture Catalogue for 0g.,"Yes, the Dark Throne is available from the Furniture Catalogue at no additional cost.","Yes, the Dark Throne is available from the Furniture Catalogue for free once you own the catalogue.","Yes, the Dark Throne is available from the Furniture Catalogue at no additional cost.",PASS
